,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
17,143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Figures_of_argument,[],[],['strategic_repetition'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an argument from opposites, contrasting 'sagacious gun owners' with 'gun control extremists'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting 'sagacious gun owners' with 'gun control extremists' in order to highlight the opposing views on gun control.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting 'sagacious gun owners' with 'gun control extremists' such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, using opposing characteristics to highlight the difference between the two groups.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting 'sagacious gun owners' with 'gun control extremists' to emphasize the opposing viewpoints on the issue of gun control.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting 'sagacious gun owners' with 'gun control extremists' to emphasize the opposing views on gun control.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting 'sagacious gun owners' with 'gun control extremists' to emphasize the opposing viewpoints on the issue of gun control.""
}",['antithesis'],1
26,241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Figures_of_argument,[],['eduction'],['strategic_repetition'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an antithesis by contrasting Louis Farrakhan with 'alt-reich' leaders, emphasizing his larger following and the open interaction with elected officials.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'alt-reich' to contrast with 'elected officials' and 'larger following' with 'openly' demonstrates the use of antithesis, creating a sharp contrast between Farrakhan and other leaders.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'elected officials meet with him openly' is repeated and emphasized to underscore the perceived danger of Farrakhan, creating a strategic repetition in the passage.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'alt-reich' to contrast with 'elected officials' and 'larger following' to contrast with 'meet with him openly' creates an antithesis, highlighting the perceived danger of Farrakhan compared to other leaders.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Farrakhan was more dangerous than other 'alt-reich' leaders' presents an argument from opposites, comparing Farrakhan to 'alt-reich' leaders.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Farrakhan was more dangerous than other 'alt-reich' leaders' presents an argument from opposites, comparing Farrakhan to 'alt-reich' leaders.""
}",['antithesis'],1
28,244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Figures_of_argument,[],[],['antithesis'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by contrasting the idea of the Church blessing nearly everything with the rhetorical question 'Why not'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites, contrasting the concept of 'nearly everything' being blessed by the church with the rhetorical question 'Why not'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the readiness of the Church to bless nearly everything with the notion of questioning why it wouldn't bless something.""
}",['antithesis'],True,"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence uses antimetabole by transposing the arguments in the phrase 'Why not' and 'since the Church is ready to bless nearly everything on the earth'.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by juxtaposing the idea of the Church blessing nearly everything with the rhetorical question 'Why not'.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the idea of the Church blessing nearly everything with the suggestion of questioning why not take advantage of that.""
}",['antithesis'],0
29,245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Figures_of_argument,[],[],['induction'],False,[],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The use of 'many many others' and 'whom I do not know' suggests a conclusion drawn from specific examples to make a generalization about people who think alike but are unknown to the speaker.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement 'there are many many others, too, who think alike, but whom I do not know' is an example of induction as it draws a general conclusion about the existence of others based on specific examples.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement implies the existence of many others who think alike based on the specific example of the speaker's own thoughts.""
}",['induction'],True,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of 'many many others' to draw a conclusion about a general group of people based on specific examples.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of 'many many others' to draw a conclusion about a general group of people based on specific individuals.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of 'many many others' to draw a general conclusion from specific examples is an example of induction.""
}",['induction'],1
30,247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Figures_of_argument,[],['antimetabole'],[],False,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'dangerous' and 'last appeal' presents an argument from opposites, which is a form of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the dangerous behavior of the head of the Catholic Church with the potential mimicking of that behavior by bishops worldwide. Furthermore, it uses induction by drawing a general conclusion about the potential response of bishops based on the specific example of the Pope's perceived inaction.""
}","['antithesis', 'induction']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The passage presents an argument from opposites, contrasting the potential positive impact of the Pope's intervention with the negative consequences of his inaction.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'this is the kind of behavior that is going to be mimicked around the world by bishops' and 'Well if the Pope is not going to intervene and impose zero tolerance, why should I?' presents an argument from opposites, highlighting the contrast between the behavior of the Pope and the potential behavior of bishops.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'this is the kind of behavior that is going to be mimicked around the world by bishops' and 'Well if the Pope is not going to intervene and impose zero tolerance, why should I?' presents an argument from opposites, highlighting the contrast between the behavior of the Pope and the potential behavior of bishops.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'this is the kind of behavior that is going to be mimicked around the world by bishops' and 'Well if the Pope is not going to intervene and impose zero tolerance, why should I?' presents an argument from opposites, highlighting the contrast between the behavior of the Pope and the potential behavior of bishops.""
}",['antithesis'],1
31,249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Figures_of_argument,[],[],['induction'],False,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains the strategic repetition of the phrase 'after virtually every'.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of antithesis is evident in the contrasting ideas of 'shock that the culprit would be capable of carrying out such horrors' and 'outright denying it to be possible.'""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the shock and denial of friends and neighbors with the actual actions of the culprits after terror attacks and mass shootings.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'shock' and 'denying' presents an argument from opposites, suggesting a contrast between the initial reaction and the eventual reality.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the claims of the shocking nature of the culprits' actions with the denial of their capability to carry out such horrors.""
}",['antithesis'],"{
  ""Properties"": [""antithesis"", ""induction""],
  ""Explanation"": ""The use of 'shock' and 'denying it to be possible' presents an antithesis, highlighting the contrast between the initial disbelief and the actual events. Additionally, the statement makes an induction by drawing a conclusion about the behavior of friends and neighbors after terror attacks and mass shootings.""
}","['antithesis', 'induction']",0
32,253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'either...or' sets up an antithesis between two opposing options, emphasizing the contrast between them.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites: burning crosses on a Jewish community's lawn is contrasted with whining to the New York Times.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The example uses antithesis by contrasting the idea of 'whine to the New York Times' with 'burn crosses on their lawn', creating a clear opposition between the two actions.""
}",['antithesis'],True,timeout,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'either...or' presents an argument from opposites, creating an antithesis between two contrasting options.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'either...or' presents an argument from opposites, creating an antithesis between two contrasting options.""
}",['antithesis'],1
33,258,[3 7],"The American Medical Association (AMA) should seriously consider changing their names since they are about as anti-American as it comes in their new demands for gun confiscation measures, which include guns and ammunition confiscation, as well as universal gun registration.",Figures_of_argument,[],[],['strategic_repetition'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the concept of the American Medical Association (AMA) with being 'anti-American' due to their stance on gun confiscation measures.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text uses antithesis by contrasting the positive association of the American Medical Association (AMA) with the negative accusation of being 'anti-American' due to their demands for gun confiscation measures.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text uses antithesis by juxtaposing the idea of the American Medical Association with the claim that they are 'anti-American' due to their stance on gun confiscation measures.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing the idea of the American Medical Association with being 'anti-American' due to their stance on gun confiscation measures.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by juxtaposing the idea of the American Medical Association with being 'anti-American' due to their stance on gun confiscation measures.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the American Medical Association with being 'anti-American' and their demands for gun confiscation measures.""
}",['antithesis'],1
34,263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Figures_of_argument,['antimetabole'],[],['antimetabole'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, highlighting the contrast between Obama's and Trump's actions in pardoning and imprisoning different groups of people.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The example uses antithesis by presenting contrasting ideas in parallel structure to emphasize the differences between Obama's actions and Trump's actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""]
  , ""Explanation"": ""The statement presents a direct contrast or opposition between Obama's actions and Trump's actions, illustrating the use of antithesis.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the actions of Obama and Trump in pardoning and locking up different groups of people.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents a clear argument from opposites, contrasting Obama's actions with Trump's actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the actions of Obama and Trump in pardoning and locking up different groups of people.""
}",['antithesis'],1
35,265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Figures_of_argument,[],[],['defintion_as_figure'],False,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence contains an antithesis, as it presents the contrast between a Catholic consulting a priest and a Catholic declaring the invalidity of their marriage without canonical proof. The use of 'whether or not' emphasizes this opposing relationship.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'whether or not' and 'especially when—indeed because—' presents an argument from opposites, thus employing the figure of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'whether or not' and 'especially when—indeed because—' creates an argument from opposites, framing contrasting ideas for emphasis.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the idea of a Catholic declaring their marriage invalid with the lack of canonical proof of invalidity.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the idea of a Catholic declaring their marriage invalid for themselves with the lack of canonical proof of invalidity.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the idea of a Catholic declaring their marriage invalid with the lack of canonical proof of invalidity.""
}",['antithesis'],1
37,275,[3],"You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat.""",Figures_of_argument,"['antimetabole', 'strategic_repetition']",['strategic_repetition'],['antimetabole'],False,"['antimetabole', 'strategic_repetition']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, suggesting a contrast between the treatment of women who oppose Republicans versus those who oppose Democrats.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, emphasizing the contrast between believing women who go against Republicans versus not believing women who go against Democrats.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The statement uses antithesis by presenting the argument from opposites: believing any woman who goes against a Republican, but not believing any woman who goes against a Democrat.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, setting up a contrast between believing women who go against a Republican and not believing women who go against a Democrat.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the treatment of women who oppose Republicans with those who oppose Democrats.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the belief in women who go against Republicans with the disbelief in women who go against Democrats.""
}",['antithesis'],1
38,282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Figures_of_argument,[],['antimetabole'],[],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the potential future of the GOP with the absence of a promising agenda.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting Trumpism as the future of the GOP with a promising GOP agenda.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the potential future of the GOP with the concept of a promising GOP agenda.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the potential future of the GOP as Trumpism or an undefined promising agenda.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the potential future of the GOP with the concept of a promising GOP agenda.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the potential future of the GOP with the concept of a promising GOP agenda.""
}",['antithesis'],1
39,296,[3],"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an argument from opposites, emphasizing the contrast between the singular authority of the Magisterium and the limited decision-making power of bishops' conferences.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the singular authority of the Magisterium with the limited decision-making power of bishops' conferences.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites - the idea that there is only one Magisterium is contrasted with the bishops' conferences being limited to pastoral questions.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the singular authority of the Magisterium with the limited decision-making power of bishops' conferences.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the singular authority of the Magisterium with the limited decision-making power of bishops' conferences.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the singular authority of the Magisterium with the limited decision-making power of bishops' conferences.""
}",['antithesis'],1
40,300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Figures_of_argument,[],['induction'],['antimetabole'],False,"['antimetabole', 'induction']","{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'we do not' and 'neither do we' sets up an antithesis, highlighting the contrast between the speaker and the addressed party. The opposition is further emphasized by the direct contradiction expressed about the understanding of Islam and its relation to Christ.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'we do not understand your teaching about Islam' followed by 'because it does not account for the fact that Islam came AFTER Christ' presents an argument from opposites, highlighting the contrast between the understanding of Islam and the chronological sequence of its emergence.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'Islam came AFTER Christ, and so is, and can only be, an Antichrist' presents an argument from opposites, contrasting Islam as an Antichrist with Christ.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the speaker's understanding of Islam with the teachings in Evangelii Gaudium, emphasizing the opposition between the two perspectives.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'Islam' and 'Antichrist' in opposition to each other presents an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the teaching about Islam with the assertion that Islam is an Antichrist.""
}",['antithesis'],1
